```json
{
    "matchup": "France vs Iceland",
    "final_score": "France: 67, Iceland: 83",
    "final_stats": {
        "France": {
            "stats": {
                "points": 67,
                "assists": 18,
                "rebounds": 20,
                "defensive_rebounds": 12,
                "offensive_rebounds": 8,
                "fouls": 11,
                "steals": 6,
                "blocks": 7,
                "turnovers": 9,
                "2pt_shots_made": 13,
                "2pt_shots_attempted": 22,
                "3pt_shots_made": 7,
                "3pt_shots_attempted": 15,
                "ft_made": 10,
                "ft_attempted": 28
            },
            "players": {
                "Alexandre Sarr": {
                    "points": 10,
                    "assists": 5,
                    "rebounds": 5,
                    "defensive_rebounds": 4,
                    "offensive_rebounds": 1,
                    "fouls": 0,
                    "steals": 2,
                    "blocks": 0,
                    "turnovers": 1,
                    "2pt_shots_made": 2,
                    "2pt_shots_attempted": 3,
                    "3pt_shots_made": 2,
                    "3pt_shots_attempted": 6,
                    "ft_made": 2,
                    "ft_attempted": 8
                },
                "Zaccharie Risacher": {
                    "points": 12,
                    "assists": 4,
                    "rebounds": 2,
                    "defensive_rebounds": 0,
                    "offensive_rebounds": 2,
                    "fouls": 3,
                    "steals": 1,
                    "blocks": 0,
                    "turnovers": 3,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 5,
                    "3pt_shots_made": 3,
                    "3pt_shots_attempted": 5,
                    "ft_made": 1,
                    "ft_attempted": 4
                },
                "Isaia Cordinier": {
                    "points": 3,
                    "assists": 2,
                    "rebounds": 1,
                    "defensive_rebounds": 0,
                    "offensive_rebounds": 1,
                    "fouls": 2,
                    "steals": 1,
                    "blocks": 1,
                    "turnovers": 3,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 1,
                    "3pt_shots_made": 0,
                    "3pt_shots_attempted": 0,
                    "ft_made": 1,
                    "ft_attempted": 3
                },
                "Theo Maledon": {
                    "points": 6,
                    "assists": 3,
                    "rebounds": 5,
                    "defensive_rebounds": 3,
                    "offensive_rebounds": 2,
                    "fouls": 1,
                    "steals": 1,
                    "blocks": 1,
                    "turnovers": 1,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 5,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 2,
                    "ft_made": 1,
                    "ft_attempted": 5
                },
                "Jaylen Hoard": {
                    "points": 2,
                    "assists": 2,
                    "rebounds": 0,
                    "defensive_rebounds": 0,
                    "offensive_rebounds": 0,
                    "fouls": 1,
                    "steals": 0,
                    "blocks": 1,
                    "turnovers": 0,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 1,
                    "3pt_shots_made": 0,
                    "3pt_shots_attempted": 0,
                    "ft_made": 0,
                    "ft_attempted": 3
                },
                "Elie Okobo": {
                    "points": 3,
                    "assists": 2,
                    "rebounds": 3,
                    "defensive_rebounds": 2,
                    "offensive_rebounds": 1,
                    "fouls": 1,
                    "steals": 1,
                    "blocks": 3,
                    "turnovers": 1,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 2,
                    "3pt_shots_made": 0,
                    "3pt_shots_attempted": 1,
                    "ft_made": 1,
                    "ft_attempted": 3
                },
                "Nadir Hifi": {
                    "points": 3,
                    "assists": 0,
                    "rebounds": 0,
                    "defensive_rebounds": 0,
                    "offensive_rebounds": 0,
                    "fouls": 1,
                    "steals": 0,
                    "blocks": 0,
                    "turnovers": 0,
                    "2pt_shots_made": 0,
                    "2pt_shots_attempted": 0,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 1,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Timothe Luwawu-Cabarrot": {
                    "points": 7,
                    "assists": 2,
                    "rebounds": 3,
                    "defensive_rebounds": 1,
                    "offensive_rebounds": 2,
                    "fouls": 1,
                    "steals": 0,
                    "blocks": 0,
                    "turnovers": 1,
                    "2pt_shots_made": 1,
                    "2pt_shots_attempted": 3,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 2,
                    "ft_made": 2,
                    "ft_attempted": 4
                },
                "Mouhammadou Jaiteh": {
                    "points": 3,
                    "assists": 1,
                    "rebounds": 3,
                    "defensive_rebounds": 3,
                    "offensive_rebounds": 0,
                    "fouls": 1,
                    "steals": 0,
                    "blocks": 1,
                    "turnovers": 0,
                    "2pt_shots_made": 0,
                    "2pt_shots_attempted": 1,
                    "3pt_shots_made": 1,
                    "3pt_shots_attempted": 1,
                    "ft_made": 0,
                    "ft_attempted": 0
                },
                "Sylvain Francisco": {
                    "points": 0,
